"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401540087,4,2023,"Alabama A&M","Arkansas-Pine Bluff",0,0,0,0
401540100,2,2023,"Western Illinois","Illinois State",0,0,0,0
401540101,3,2023,"Eastern Illinois","Illinois State",0,0,0,0
401540102,4,2023,"Illinois State","Lindenwood",0,0,0,0
401540115,1,2023,"Alabama State","Southern",0,0,0,0
401540117,4,2023,"Florida A&M","Alabama State",0,0,0,0
401540118,5,2023,"Alabama State","Alcorn State",0,0,0,0
401540125,2,2023,"Stephen F. Austin","Alcorn State",0,0,0,0
401540126,4,2023,"Alcorn State","Prairie View",0,0,0,0
401540135,5,2023,"Arkansas-Pine Bluff","Southern",0,0,0,0
401540142,4,2023,"Jackson State","Bethune-Cookman",0,0,0,0
401540148,1,2023,"Florida A&M","Jackson State",0,0,0,0
401540158,5,2023,"Prairie View","Grambling",0,0,0,0
401540166,1,2023,"Texas Southern","Prairie View",0,0,0,0
401540172,5,2023,"Texas Southern","Lincoln University (CA)",0,0,0,0
401540173,1,2023,"Southern Illinois","Austin Peay",0,0,0,0
401540174,3,2023,"Austin Peay","East Tennessee State",0,0,0,0
401540175,4,2023,"Stephen F. Austin","Austin Peay",0,0,0,0
401540176,5,2023,"Lindenwood","Austin Peay",0,0,0,0
401540183,2,2023,"Central Arkansas","Texas College",0,0,0,0
401540184,3,2023,"North Dakota State","Central Arkansas",0,0,0,0
401540186,5,2023,"Southern Utah","Central Arkansas",0,0,0,0
401540192,3,2023,"Eastern Kentucky","Western Carolina",0,0,0,0
401540193,4,2023,"Eastern Kentucky","Southeast Missouri State",0,0,0,0
401540194,5,2023,"North Alabama","Eastern Kentucky",0,0,0,0
401540199,1,2023,"Mercer","North Alabama",0,0,0,0
401540200,1,2023,"North Alabama","Chattanooga",0,0,0,0
401540202,3,2023,"Tennessee Tech","North Alabama",0,0,0,0
401540203,4,2023,"North Alabama","UT Martin",0,0,0,0
401540206,3,2023,"UC Davis","Southern Utah",0,0,0,0
401540207,4,2023,"Southern Utah","Western Illinois",0,0,0,0
401540213,1,2023,"McNeese","Tarleton State",0,0,0,0
401540215,5,2023,"Southeastern Louisiana","Tarleton State",0,0,0,0
401540219,1,2023,"Montana State","Utah Tech",0,0,0,0
